id_mutation.string(),date_mutation.date(2006-01-02),nature_mutation.string(),valeur_fonciere.double(),adresse_numero.int32(),adresse_nom_voie.string(),adresse_code_voie.string(),code_postal.int32(),code_commune.int32(),nom_commune.string(),code_departement.int32(),nombre_lots.int64(),type_local.string(),surface_reelle_bati.double(),nombre_pieces_principales.int32(),longitude.double(),latitude.double()
2021-1674659,2021-07-30,Vente,150000.0,22,AV STANISLAS GIMART,1367,97490,97411,Saint-Denis,974,1,Appartement,64.0,3,55.474806,-20.894268
2021-1674661,2021-08-18,Vente,253000.0,211,CHE MAURICE PONGERARD,0316,97419,97408,La Possession,974,0,Maison,39.0,2,55.364559,-20.928684
2021-1674661,2021-08-18,Vente,253000.0,211,CHE MAURICE PONGERARD,0316,97419,97408,La Possession,974,0,Maison,167.0,5,55.364559,-20.928684
2021-1674661,2021-08-18,Vente,253000.0,211,CHE MAURICE PONGERARD,0316,97419,97408,La Possession,974,0,Maison,68.0,4,55.364559,-20.928684
2021-1674661,2021-08-18,Vente,253000.0,211,CHE MAURICE PONGERARD,0316,97419,97408,La Possession,974,0,Maison,98.0,4,55.364559,-20.928684
2021-1674662,2021-07-30,Vente,70000.0,28,ALL HONORE DE BALZAC,0679,97490,97411,Saint-Denis,974,0,Maison,47.0,3,55.489782,-20.893569
2021-1674663,2021-08-19,Vente,50000.0,55,BD SAINT FRANCOIS,1261,97400,97411,Saint-Denis,974,1,Appartement,24.0,1,55.461515,-20.897192
2021-1674665,2021-08-19,Vente,149500.0,165,CHE DES COMBAVAS,0370,97411,97415,Saint-Paul,974,1,Appartement,45.0,2,55.326496,-20.989901
2021-1674666,2021-07-23,Vente,230000.0,1198,CHE BRAS MOUSSELINE,0330,97440,97409,Saint-André,974,0,Maison,93.0,3,55.611868,-20.965065
2021-1674667,2021-07-21,Vente,100000.0,8,RUE MAHATMA GANDHI,0247,97419,97408,La Possession,974,1,Appartement,47.0,2,55.32271,-20.958588
2021-1674670,2021-07-20,Vente,353800.0,5,RUE FAHAM,0163,97438,97418,Sainte-Marie,974,0,Maison,212.0,6,55.507971,-20.906906
2021-1674671,2021-07-29,Vente,410000.0,41,RUE DUGAIN,0610,97441,97420,Sainte-Suzanne,974,0,Maison,107.0,5,55.629989,-20.952695
2021-1674672,2021-07-27,Vente,90000.0,15,RUE DE LA GIRODAY,0240,97412,97402,Bras-Panon,974,0,Maison,38.0,2,55.678312,-20.991245
2021-1674673,2021-07-21,Vente,130000.0,1,PT BRULE,B340,97439,97419,Sainte-Rose,974,0,Maison,62.0,3,55.776638,-21.126561
2021-1674674,2021-07-26,Vente,60000.0,3146,CHE LAGOURGUE,1000,97440,97409,Saint-André,974,1,Appartement,40.0,2,55.673381,-20.939856
2021-1674675,2021-07-26,Vente,78000.0,11,RUE LABOURDONNAIS,0710,97400,97411,Saint-Denis,974,1,Appartement,31.0,1,55.44717,-20.876628
2021-1674676,2021-08-19,Vente,380000.0,110,LOT LE GOLF,A223,97417,97411,Saint-Denis,974,0,Maison,123.0,4,55.423367,-20.878716
2021-1674677,2021-08-09,Vente en l'état futur d'achèvement,94600.0,12,RUE DU BEARN,0157,97490,97411,Saint-Denis,974,1,Appartement,19.0,1,55.489818,-20.903137
2021-1674678,2021-08-18,Vente,180000.0,6,RUE OMEGA,1854,97460,97415,Saint-Paul,974,1,Appartement,65.0,3,55.283674,-20.983793
2021-1674679,2021-08-19,Vente,180000.0,28,RUE DU PERE COUPY,0137,97431,97406,La Plaine-des-Palmistes,974,0,Maison,86.0,4,55.629773,-21.128697
2021-1674681,2021-08-16,Vente,550000.0,140,ALL DES PERLES,1483,97400,97411,Saint-Denis,974,0,Maison,110.0,4,55.446831,-20.905002
2021-1674681,2021-08-16,Vente,550000.0,140,ALL DES PERLES,1483,97400,97411,Saint-Denis,974,0,Maison,165.0,5,55.446831,-20.905002
2021-1674681,2021-08-16,Vente,550000.0,140,ALL DES PERLES,1483,97400,97411,Saint-Denis,974,0,Maison,196.0,5,55.446831,-20.905002
2021-1674683,2021-07-22,Vente,110000.0,96,RUE GEORGES POMPIDOU,0684,97470,97410,Saint-Benoît,974,0,Maison,48.0,4,55.710256,-21.030493
2021-1674684,2021-07-26,Vente,175000.0,4,RUE DES PATRICES,0225,97438,97418,Sainte-Marie,974,0,Maison,60.0,3,55.523498,-20.926662
2021-1674685,2021-08-02,Vente en l'état futur d'achèvement,188100.0,38,RLE MAGNAN,0802,97490,97411,Saint-Denis,974,1,Appartement,42.0,2,55.467726,-20.887409
2021-1674686,2021-08-09,Vente en l'état futur d'achèvement,104900.0,12,RUE DU BEARN,0157,97490,97411,Saint-Denis,974,1,Appartement,19.0,1,55.489818,-20.903137
2021-1674687,2021-07-29,Vente,177000.0,20,RUE RAYMOND MONDON,0328,97419,97408,La Possession,974,1,Maison,65.0,3,55.339892,-20.925046
2021-1674688,2021-07-28,Vente,6400000.0,30,RUE DU GENERAL DE GAULLE,0197,97438,97418,Sainte-Marie,974,0,Local industriel. commercial ou assimilé,2763.0,0,55.563746,-20.897518
2021-1674689,2021-08-04,Vente,600000.0,129,PL DU GENERAL DE GAULLE,0665,97460,97415,Saint-Paul,974,1,Appartement,112.0,5,55.227162,-21.051017
